iter	RMSE
0	3.036596659
1	2.97091502
2	2.910229204
3	2.854344627
4	2.803174317
5	2.756090809
6	2.710499012
7	2.668281762
8	2.630056532
9	2.594183985
10	2.561118719
11	2.530880886
12	2.503742111
13	2.47850221
14	2.453504147
15	2.43218529
16	2.411217437
17	2.394912551
18	2.378336486
19	2.363661052
20	2.351179759
21	2.337875764
22	2.324649779
23	2.313601341
24	2.303270764
25	2.291929307
26	2.282418896
27	2.273149261
28	2.264005544
29	2.25782037
30	2.249001222
31	2.242534649
32	2.236777668
33	2.230504697
34	2.225343594
35	2.220050904
36	2.214317543
37	2.20910054
38	2.204857275
39	2.201356035
40	2.195850724
41	2.192381589
42	2.189539354
43	2.186821519
44	2.183831808
45	2.181639734
46	2.1796921
47	2.178424488
48	2.17576561
49	2.173116934
50	2.170500361
51	2.167473639
52	2.165934121
53	2.164791632
54	2.162842373
55	2.161368133
56	2.160139584
57	2.158784679
58	2.157712198
59	2.156510623
60	2.154504507
61	2.153434076
62	2.15279242
63	2.151316888
64	2.150590878
65	2.149692385
66	2.149281215
67	2.147186827
68	2.145887599
69	2.14524578
70	2.144274417
71	2.142921171
72	2.142825788
73	2.141818484
74	2.140834466
75	2.140274167
76	2.13911484
77	2.138640595
78	2.138043452
79	2.137735539
80	2.137649223
81	2.136440067
82	2.136133279
83	2.134802712
84	2.133483898
85	2.133362621
86	2.133091342
87	2.132656438
88	2.132560868
89	2.132010155
90	2.131195872
91	2.129908358
92	2.129892058
93	2.128921275
94	2.127398058
95	2.126909433
96	2.126724763
97	2.126245269
98	2.125721117
99	2.124380148
100	2.124376983
101	2.124276593
102	2.123963735
103	2.123519387
104	2.123136464
105	2.123011869
106	2.123006077
107	2.122380175
108	2.122178028
109	2.122004308
110	2.12196401
111	2.121557158
112	2.121464625
113	2.121453207
114	2.121156103
115	2.119927212
116	2.11963626
117	2.119564496
118	2.11940772
119	2.119306183
120	2.119163905
121	2.119090677
122	2.118996051
123	2.118995238
124	2.118593933
125	2.118359502
126	2.118069676
127	2.117946565
128	2.117859249
129	2.117228052
130	2.116779788
131	2.115805018
132	2.115424218
133	2.115307201
134	2.115304397
135	2.115251099
136	2.115175085
137	2.115120398
138	2.115059259
139	2.114917447
140	2.114892909
141	2.114636653
142	2.114536852
143	2.113567592
144	2.113303665
145	2.112510713
146	2.112425182
147	2.112219829
148	2.112194995
149	2.11128638
150	2.111147983
151	2.110186058
152	2.10981833
153	2.109585434
154	2.10941318
155	2.109243216
156	2.109230384
157	2.10805155
158	2.108049124
159	2.107912897
160	2.107890015
161	2.107885451
162	2.107882516
163	2.107815517
164	2.107393482
165	2.107384539
166	2.107380134
167	2.107138158
168	2.107028778
169	2.106943607
170	2.106671362
171	2.106551657
172	2.106371043
173	2.106223657
174	2.106189923
175	2.106128717
176	2.106058616
177	2.106055885
178	2.105403882
179	2.10490899
180	2.104859964
181	2.104585946
182	2.104584362
183	2.104504479
184	2.104427358
185	2.103634242
186	2.103632567
187	2.103595501
188	2.103571013
189	2.103361409
190	2.103300345
191	2.103070018
192	2.103012028
193	2.102577426
194	2.102424915
195	2.102409252
196	2.101983865
197	2.101980124
198	2.101748767
199	2.101232068
200	2.101213769
201	2.100993559
202	2.100824872
203	2.100788372
204	2.100767644
205	2.099988727
206	2.099830971
207	2.099810299
208	2.099691985
209	2.099358998
210	2.098732488
211	2.098656418
212	2.098641483
213	2.098460535
214	2.097823969
215	2.097808275
216	2.097700983
217	2.097567499
218	2.097489309
219	2.097419383
220	2.097070839
221	2.097027375
222	2.097000165
223	2.096622876
224	2.096583489
225	2.096398442
226	2.096394538
227	2.096388278
228	2.095835381
229	2.095792192
230	2.095752518
231	2.095712945
232	2.095568043
233	2.09551528
234	2.095464543
235	2.094695007
236	2.094692691
237	2.093923446
238	2.093743579
239	2.093656131
240	2.093652589
241	2.093408825
242	2.093408257
243	2.093407158
244	2.092896282
245	2.0924991
246	2.092481872
247	2.092234582
248	2.092092066
249	2.091807048
250	2.09180637
251	2.09180628
252	2.091805953
253	2.091256303
254	2.091180334
255	2.091178293
256	2.090693271
257	2.090692725
258	2.090631299
259	2.090255459
260	2.090078819
261	2.090052169
262	2.090050894
263	2.089994578
264	2.089453461
265	2.088811331
266	2.08881113
267	2.088750506
268	2.088021421
269	2.088021055
270	2.087938077
271	2.087885925
272	2.087885469
273	2.087794096
274	2.0877885
275	2.086825944
276	2.086780157
277	2.086774933
278	2.086771196
279	2.086770981
280	2.086677802
281	2.086407994
282	2.086350436
283	2.086268816
284	2.085730651
285	2.085668338
286	2.085610574
287	2.085592859
288	2.085589741
289	2.085416379
290	2.085410518
291	2.085407196
292	2.085400817
293	2.085311175
294	2.085266099
295	2.085264195
296	2.084718156
297	2.084625747
298	2.084593149
299	2.084555137
300	2.084532207
301	2.084529411
302	2.084442687
303	2.08440576
304	2.084405092
305	2.084284586
306	2.084000062
307	2.083998257
308	2.083771021
309	2.083751446
310	2.083563558
311	2.083563145
312	2.083558928
313	2.083535961
314	2.083503997
315	2.083500976
316	2.083496968
317	2.083479911
318	2.082973403
319	2.082438444
320	2.082222823
321	2.082144946
322	2.081941694
323	2.081853276
324	2.081221198
325	2.081146409
326	2.081096821
327	2.081094133
328	2.08106218
329	2.080790736
330	2.080680083
331	2.080496341
332	2.080473168
333	2.080414183
334	2.080362947
335	2.080360115
336	2.080307834
337	2.080262642
338	2.079441464
339	2.079415561
340	2.079370605
341	2.079362337
342	2.079209205
343	2.079099564
344	2.077863445
345	2.077848385
346	2.076075078
347	2.075832826
348	2.075763451
349	2.075611204
350	2.075581441
351	2.075560237
352	2.075480275
353	2.075470587
354	2.075409871
355	2.075348703
356	2.075321433
357	2.075312931
358	2.074821603
359	2.07477103
360	2.074750905
361	2.074743023
362	2.074725063
363	2.074723791
364	2.074718359
365	2.074647003
366	2.074641213
367	2.074626594
368	2.073988382
369	2.073840983
370	2.073642496
371	2.073585031
372	2.073541038
373	2.07349485
374	2.073430601
375	2.073424954
376	2.073422404
377	2.073007001
378	2.072286017
379	2.072247969
380	2.071992626
381	2.071935103
382	2.071869175
383	2.07186045
384	2.071854754
385	2.071833276
386	2.070766052
387	2.070762467
388	2.070719382
389	2.070696197
390	2.07037403
391	2.070370276
392	2.070367043
393	2.070331736
394	2.069300421
395	2.06925085
396	2.068978322
397	2.068969533
398	2.068891794
399	2.068627116
400	2.068183469
401	2.068179731
402	2.068128389
403	2.067704009
404	2.067674747
405	2.067631252
406	2.067603181
407	2.067531758
408	2.067401772
409	2.067373702
410	2.06729122
411	2.067261068
412	2.066931288
413	2.066504759
414	2.066497221
415	2.066413249
416	2.06600943
417	2.065737989
418	2.06570548
419	2.065688848
420	2.065620946
421	2.065560661
422	2.065278301
423	2.06526508
